dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
realstate,3,8,0.75,8.694645116011744,0.5468714664853984,,560,21,787755760,100,5.0,0.25,10,tt_lin
realstate,3,8,0.75,8.576570266567092,0.5590950344175917,,560,19,4192420569,100,5.0,0.25,10,tt_lin
realstate,3,12,0.25,8.700620729794888,0.546248404462965,,1176,19,2582264110,100,5.0,0.25,10,tt_lin
realstate,3,12,0.25,8.641221935537109,0.5524227447463786,,1176,19,1011906602,100,5.0,0.25,10,tt_lin
realstate,3,12,0.25,8.526628506047789,0.5642149037916699,,1176,19,1729841207,100,5.0,0.25,10,tt_lin
realstate,3,12,0.25,8.724620974125948,0.5437416478822961,,1176,19,3653141251,100,5.0,0.25,10,tt_lin
realstate,3,12,0.25,8.577579006903864,0.5589913135210174,,1176,19,826749499,100,5.0,0.25,10,tt_lin
realstate,3,12,0.25,8.831723734607817,0.5324709073005001,,1176,19,1399498030,100,5.0,0.25,10,tt_lin
realstate,3,12,0.25,8.652995833751095,0.5512022416370619,,1176,19,358916519,100,5.0,0.25,10,tt_lin
realstate,3,12,0.25,8.647121791011857,0.5518113630233539,,1176,19,328531638,100,5.0,0.25,10,tt_lin
realstate,3,12,0.25,8.635395041458716,0.5530261561568605,,1176,19,787755760,100,5.0,0.25,10,tt_lin
realstate,3,12,0.25,8.534211384716784,0.5634394566416032,,1176,19,4192420569,100,5.0,0.25,10,tt_lin
realstate,3,12,0.5,8.700620729794888,0.546248404462965,,1176,19,2582264110,100,5.0,0.25,10,tt_lin
realstate,3,12,0.5,8.641221935537109,0.5524227447463786,,1176,19,1011906602,100,5.0,0.25,10,tt_lin
realstate,3,12,0.5,8.526628506047789,0.5642149037916699,,1176,19,1729841207,100,5.0,0.25,10,tt_lin
realstate,3,12,0.5,8.724620974125948,0.5437416478822961,,1176,19,3653141251,100,5.0,0.25,10,tt_lin
realstate,3,12,0.5,8.577579006903864,0.5589913135210174,,1176,19,826749499,100,5.0,0.25,10,tt_lin
realstate,3,12,0.5,8.831723734607817,0.5324709073005001,,1176,19,1399498030,100,5.0,0.25,10,tt_lin
realstate,3,12,0.5,8.652995833751095,0.5512022416370619,,1176,19,358916519,100,5.0,0.25,10,tt_lin
realstate,3,12,0.5,8.647121791011857,0.5518113630233539,,1176,19,328531638,100,5.0,0.25,10,tt_lin
realstate,3,12,0.5,8.635395041458716,0.5530261561568605,,1176,19,787755760,100,5.0,0.25,10,tt_lin
realstate,3,12,0.5,8.534211384716784,0.5634394566416032,,1176,19,4192420569,100,5.0,0.25,10,tt_lin
realstate,3,12,0.75,8.700620729794888,0.546248404462965,,1176,19,2582264110,100,5.0,0.25,10,tt_lin
realstate,3,12,0.75,8.641221935537109,0.5524227447463786,,1176,19,1011906602,100,5.0,0.25,10,tt_lin
realstate,3,12,0.75,8.526628506047789,0.5642149037916699,,1176,19,1729841207,100,5.0,0.25,10,tt_lin
realstate,3,12,0.75,8.724620974125948,0.5437416478822961,,1176,19,3653141251,100,5.0,0.25,10,tt_lin
realstate,3,12,0.75,8.577579006903864,0.5589913135210174,,1176,19,826749499,100,5.0,0.25,10,tt_lin
realstate,3,12,0.75,8.831723734607817,0.5324709073005001,,1176,19,1399498030,100,5.0,0.25,10,tt_lin
realstate,3,12,0.75,8.652995833751095,0.5512022416370619,,1176,19,358916519,100,5.0,0.25,10,tt_lin
realstate,3,12,0.75,8.647121791011857,0.5518113630233539,,1176,19,328531638,100,5.0,0.25,10,tt_lin
realstate,3,12,0.75,8.635395041458716,0.5530261561568605,,1176,19,787755760,100,5.0,0.25,10,tt_lin
realstate,3,12,0.75,8.534211384716784,0.5634394566416032,,1176,19,4192420569,100,5.0,0.25,10,tt_lin
realstate,3,16,0.25,8.531639080858739,0.5637025851445698,,2016,19,2582264110,100,5.0,0.25,10,tt_lin
realstate,3,16,0.25,8.56746386014348,0.5600308229989603,,2016,19,1011906602,100,5.0,0.25,10,tt_lin
realstate,3,16,0.25,8.642481841561986,0.552292220060423,,2016,19,1729841207,100,5.0,0.25,10,tt_lin
realstate,3,16,0.25,8.5322828552778,0.5636367390136593,,2016,19,3653141251,100,5.0,0.25,10,tt_lin
realstate,3,16,0.25,8.582689146548583,0.5584656903183274,,2016,19,826749499,100,5.0,0.25,10,tt_lin
realstate,3,16,0.25,8.58435752610925,0.5582940148904956,,2016,19,1399498030,100,5.0,0.25,10,tt_lin
realstate,3,16,0.25,8.519106194092464,0.5649834761385848,,2016,19,358916519,100,5.0,0.25,10,tt_lin
realstate,3,16,0.25,8.57434665939648,0.5593236275080172,,2016,19,328531638,100,5.0,0.25,10,tt_lin
realstate,3,16,0.25,8.600775903144859,0.556602792097959,,2016,19,787755760,100,5.0,0.25,10,tt_lin
realstate,3,16,0.25,8.603584147397733,0.5563131970765196,,2016,19,4192420569,100,5.0,0.25,10,tt_lin
realstate,3,16,0.5,8.531639080858739,0.5637025851445698,,2016,19,2582264110,100,5.0,0.25,10,tt_lin
realstate,3,16,0.5,8.56746386014348,0.5600308229989603,,2016,19,1011906602,100,5.0,0.25,10,tt_lin
realstate,3,16,0.5,8.642481841561986,0.552292220060423,,2016,19,1729841207,100,5.0,0.25,10,tt_lin
realstate,3,16,0.5,8.5322828552778,0.5636367390136593,,2016,19,3653141251,100,5.0,0.25,10,tt_lin
realstate,3,16,0.5,8.582689146548583,0.5584656903183274,,2016,19,826749499,100,5.0,0.25,10,tt_lin
realstate,3,16,0.5,8.58435752610925,0.5582940148904956,,2016,19,1399498030,100,5.0,0.25,10,tt_lin
realstate,3,16,0.5,8.519106194092464,0.5649834761385848,,2016,19,358916519,100,5.0,0.25,10,tt_lin
realstate,3,16,0.5,8.57434665939648,0.5593236275080172,,2016,19,328531638,100,5.0,0.25,10,tt_lin
realstate,3,16,0.5,8.600775903144859,0.556602792097959,,2016,19,787755760,100,5.0,0.25,10,tt_lin
realstate,3,16,0.5,8.603584147397733,0.5563131970765196,,2016,19,4192420569,100,5.0,0.25,10,tt_lin
realstate,3,16,0.75,8.531639080858739,0.5637025851445698,,2016,19,2582264110,100,5.0,0.25,10,tt_lin
realstate,3,16,0.75,8.56746386014348,0.5600308229989603,,2016,19,1011906602,100,5.0,0.25,10,tt_lin
realstate,3,16,0.75,8.642481841561986,0.552292220060423,,2016,19,1729841207,100,5.0,0.25,10,tt_lin
realstate,3,16,0.75,8.5322828552778,0.5636367390136593,,2016,19,3653141251,100,5.0,0.25,10,tt_lin
realstate,3,16,0.75,8.582689146548583,0.5584656903183274,,2016,19,826749499,100,5.0,0.25,10,tt_lin
realstate,3,16,0.75,8.58435752610925,0.5582940148904956,,2016,19,1399498030,100,5.0,0.25,10,tt_lin
realstate,3,16,0.75,8.519106194092464,0.5649834761385848,,2016,19,358916519,100,5.0,0.25,10,tt_lin
realstate,3,16,0.75,8.57434665939648,0.5593236275080172,,2016,19,328531638,100,5.0,0.25,10,tt_lin
realstate,3,16,0.75,8.600775903144859,0.556602792097959,,2016,19,787755760,100,5.0,0.25,10,tt_lin
realstate,3,16,0.75,8.603584147397733,0.5563131970765196,,2016,19,4192420569,100,5.0,0.25,10,tt_lin
realstate,4,8,0.25,8.659322455748171,0.5505457264078104,,1008,31,2582264110,100,5.0,0.25,10,tt_lin
realstate,4,8,0.25,8.584981143100434,0.5582298364445458,,1008,31,1011906602,100,5.0,0.25,10,tt_lin
realstate,4,8,0.25,8.423721742468368,0.5746702949714207,,1008,30,1729841207,100,5.0,0.25,10,tt_lin
realstate,4,8,0.25,8.399696738148025,0.5770929713916186,,1008,30,3653141251,100,5.0,0.25,10,tt_lin
realstate,4,8,0.25,8.307119830439106,0.586363704198066,,1008,31,826749499,100,5.0,0.25,10,tt_lin
realstate,4,8,0.25,8.921365161515553,0.5229319615568921,,1008,18,1399498030,100,5.0,0.25,10,tt_lin
realstate,4,8,0.25,8.55713363196412,0.561091169912854,,1008,31,358916519,100,5.0,0.25,10,tt_lin
realstate,4,8,0.25,8.446075158676937,0.5724099670573162,,1008,31,328531638,100,5.0,0.25,10,tt_lin
realstate,4,8,0.25,8.508777149855524,0.5660377137190205,,1008,31,787755760,100,5.0,0.25,10,tt_lin
realstate,4,8,0.25,8.548532084096285,0.5619731002481171,,1008,30,4192420569,100,5.0,0.25,10,tt_lin
realstate,4,8,0.5,8.659322455748171,0.5505457264078104,,1008,31,2582264110,100,5.0,0.25,10,tt_lin
realstate,4,8,0.5,8.584981143100434,0.5582298364445458,,1008,31,1011906602,100,5.0,0.25,10,tt_lin
realstate,4,8,0.5,8.423721742468368,0.5746702949714207,,1008,30,1729841207,100,5.0,0.25,10,tt_lin
realstate,4,8,0.5,8.399696738148025,0.5770929713916186,,1008,30,3653141251,100,5.0,0.25,10,tt_lin
realstate,4,8,0.5,8.307119830439106,0.586363704198066,,1008,31,826749499,100,5.0,0.25,10,tt_lin
realstate,4,8,0.5,8.921365161515553,0.5229319615568921,,1008,18,1399498030,100,5.0,0.25,10,tt_lin
realstate,4,8,0.5,8.55713363196412,0.561091169912854,,1008,31,358916519,100,5.0,0.25,10,tt_lin
realstate,4,8,0.5,8.446075158676937,0.5724099670573162,,1008,31,328531638,100,5.0,0.25,10,tt_lin
realstate,4,8,0.5,8.508777149855524,0.5660377137190205,,1008,31,787755760,100,5.0,0.25,10,tt_lin
realstate,4,8,0.5,8.548532084096285,0.5619731002481171,,1008,30,4192420569,100,5.0,0.25,10,tt_lin
realstate,4,8,0.75,8.659322455748171,0.5505457264078104,,1008,31,2582264110,100,5.0,0.25,10,tt_lin
realstate,4,8,0.75,8.584981143100434,0.5582298364445458,,1008,31,1011906602,100,5.0,0.25,10,tt_lin
realstate,4,8,0.75,8.423721742468368,0.5746702949714207,,1008,30,1729841207,100,5.0,0.25,10,tt_lin
realstate,4,8,0.75,8.399696738148025,0.5770929713916186,,1008,30,3653141251,100,5.0,0.25,10,tt_lin
realstate,4,8,0.75,8.307119830439106,0.586363704198066,,1008,31,826749499,100,5.0,0.25,10,tt_lin
realstate,4,8,0.75,8.921365161515553,0.5229319615568921,,1008,18,1399498030,100,5.0,0.25,10,tt_lin
realstate,4,8,0.75,8.55713363196412,0.561091169912854,,1008,31,358916519,100,5.0,0.25,10,tt_lin
realstate,4,8,0.75,8.446075158676937,0.5724099670573162,,1008,31,328531638,100,5.0,0.25,10,tt_lin
realstate,4,8,0.75,8.508777149855524,0.5660377137190205,,1008,31,787755760,100,5.0,0.25,10,tt_lin
realstate,4,8,0.75,8.548532084096285,0.5619731002481171,,1008,30,4192420569,100,5.0,0.25,10,tt_lin
realstate,4,12,0.25,8.379308622208114,0.5791434771688118,,2184,22,2582264110,100,5.0,0.25,10,tt_lin
realstate,4,12,0.25,8.64203891226222,0.5523381091500542,,2184,28,1011906602,100,5.0,0.25,10,tt_lin
realstate,4,12,0.25,8.331668119420545,0.5839154269089487,,2184,23,1729841207,100,5.0,0.25,10,tt_lin
realstate,4,12,0.25,8.249954383045315,0.5920369929984793,,2184,27,3653141251,100,5.0,0.25,10,tt_lin
realstate,4,12,0.25,8.458673397449765,0.5711334217294539,,2184,28,826749499,100,5.0,0.25,10,tt_lin
realstate,4,12,0.25,8.467720458675421,0.57021553379448,,2184,28,1399498030,100,5.0,0.25,10,tt_lin
realstate,4,12,0.25,8.45608063799055,0.5713962945010409,,2184,27,358916519,100,5.0,0.25,10,tt_lin
realstate,4,12,0.25,8.485702253696513,0.5683882410773191,,2184,30,328531638,100,5.0,0.25,10,tt_lin
realstate,4,12,0.25,8.321710329091937,0.5849094192060803,,2184,28,787755760,100,5.0,0.25,10,tt_lin
realstate,4,12,0.25,8.27472554726637,0.5895834302763372,,2184,31,4192420569,100,5.0,0.25,10,tt_lin
realstate,4,12,0.5,8.379308622208114,0.5791434771688118,,2184,22,2582264110,100,5.0,0.25,10,tt_lin
realstate,4,12,0.5,8.64203891226222,0.5523381091500542,,2184,28,1011906602,100,5.0,0.25,10,tt_lin
realstate,4,12,0.5,8.331668119420545,0.5839154269089487,,2184,23,1729841207,100,5.0,0.25,10,tt_lin
realstate,4,12,0.5,8.249954383045315,0.5920369929984793,,2184,27,3653141251,100,5.0,0.25,10,tt_lin
realstate,4,12,0.5,8.458673397449765,0.5711334217294539,,2184,28,826749499,100,5.0,0.25,10,tt_lin
realstate,4,12,0.5,8.467720458675421,0.57021553379448,,2184,28,1399498030,100,5.0,0.25,10,tt_lin
realstate,4,12,0.5,8.45608063799055,0.5713962945010409,,2184,27,358916519,100,5.0,0.25,10,tt_lin
realstate,4,12,0.5,8.485702253696513,0.5683882410773191,,2184,30,328531638,100,5.0,0.25,10,tt_lin
realstate,4,12,0.5,8.321710329091937,0.5849094192060803,,2184,28,787755760,100,5.0,0.25,10,tt_lin
realstate,4,12,0.5,8.27472554726637,0.5895834302763372,,2184,31,4192420569,100,5.0,0.25,10,tt_lin
realstate,4,12,0.75,8.379308622208114,0.5791434771688118,,2184,22,2582264110,100,5.0,0.25,10,tt_lin
realstate,4,12,0.75,8.64203891226222,0.5523381091500542,,2184,28,1011906602,100,5.0,0.25,10,tt_lin
realstate,4,12,0.75,8.331668119420545,0.5839154269089487,,2184,23,1729841207,100,5.0,0.25,10,tt_lin
realstate,4,12,0.75,8.249954383045315,0.5920369929984793,,2184,27,3653141251,100,5.0,0.25,10,tt_lin
realstate,4,12,0.75,8.458673397449765,0.5711334217294539,,2184,28,826749499,100,5.0,0.25,10,tt_lin
realstate,4,12,0.75,8.467720458675421,0.57021553379448,,2184,28,1399498030,100,5.0,0.25,10,tt_lin
realstate,4,12,0.75,8.45608063799055,0.5713962945010409,,2184,27,358916519,100,5.0,0.25,10,tt_lin
realstate,4,12,0.75,8.485702253696513,0.5683882410773191,,2184,30,328531638,100,5.0,0.25,10,tt_lin
realstate,4,12,0.75,8.321710329091937,0.5849094192060803,,2184,28,787755760,100,5.0,0.25,10,tt_lin
realstate,4,12,0.75,8.27472554726637,0.5895834302763372,,2184,31,4192420569,100,5.0,0.25,10,tt_lin
realstate,4,16,0.25,8.13392489590935,0.6034316905375569,,3808,20,2582264110,100,5.0,0.25,10,tt_lin
realstate,4,16,0.25,8.192265083058864,0.5977225549979797,,3808,24,1011906602,100,5.0,0.25,10,tt_lin
realstate,4,16,0.25,8.23312308475126,0.5936999216131766,,3808,20,1729841207,100,5.0,0.25,10,tt_lin
realstate,4,16,0.25,8.399827690502857,0.5770797849386563,,3808,27,3653141251,100,5.0,0.25,10,tt_lin
realstate,4,16,0.25,8.291885776669263,0.5878794111606862,,3808,27,826749499,100,5.0,0.25,10,tt_lin
realstate,4,16,0.25,8.462165984524257,0.5707791905091293,,3808,18,1399498030,100,5.0,0.25,10,tt_lin
realstate,4,16,0.25,8.392362188873662,0.5778312071371663,,3808,27,358916519,100,5.0,0.25,10,tt_lin
realstate,4,16,0.25,8.40713249759927,0.5763438903441496,,3808,25,328531638,100,5.0,0.25,10,tt_lin
realstate,4,16,0.25,8.122039076096579,0.6045898265333672,,3808,20,787755760,100,5.0,0.25,10,tt_lin
realstate,4,16,0.25,8.318294821650975,0.5852500833163201,,3808,18,4192420569,100,5.0,0.25,10,tt_lin
realstate,4,16,0.5,8.13392489590935,0.6034316905375569,,3808,20,2582264110,100,5.0,0.25,10,tt_lin
realstate,4,16,0.5,8.192265083058864,0.5977225549979797,,3808,24,1011906602,100,5.0,0.25,10,tt_lin
realstate,4,16,0.5,8.23312308475126,0.5936999216131766,,3808,20,1729841207,100,5.0,0.25,10,tt_lin
realstate,4,16,0.5,8.399827690502857,0.5770797849386563,,3808,27,3653141251,100,5.0,0.25,10,tt_lin
realstate,4,16,0.5,8.291885776669263,0.5878794111606862,,3808,27,826749499,100,5.0,0.25,10,tt_lin
realstate,4,16,0.5,8.462165984524257,0.5707791905091293,,3808,18,1399498030,100,5.0,0.25,10,tt_lin
realstate,4,16,0.5,8.392362188873662,0.5778312071371663,,3808,27,358916519,100,5.0,0.25,10,tt_lin
realstate,4,16,0.5,8.40713249759927,0.5763438903441496,,3808,25,328531638,100,5.0,0.25,10,tt_lin
realstate,4,16,0.5,8.122039076096579,0.6045898265333672,,3808,20,787755760,100,5.0,0.25,10,tt_lin
realstate,4,16,0.5,8.318294821650975,0.5852500833163201,,3808,18,4192420569,100,5.0,0.25,10,tt_lin
realstate,4,16,0.75,8.13392489590935,0.6034316905375569,,3808,20,2582264110,100,5.0,0.25,10,tt_lin
realstate,4,16,0.75,8.192265083058864,0.5977225549979797,,3808,24,1011906602,100,5.0,0.25,10,tt_lin
realstate,4,16,0.75,8.23312308475126,0.5936999216131766,,3808,20,1729841207,100,5.0,0.25,10,tt_lin
realstate,4,16,0.75,8.399827690502857,0.5770797849386563,,3808,27,3653141251,100,5.0,0.25,10,tt_lin
realstate,4,16,0.75,8.291885776669263,0.5878794111606862,,3808,27,826749499,100,5.0,0.25,10,tt_lin
realstate,4,16,0.75,8.462165984524257,0.5707791905091293,,3808,18,1399498030,100,5.0,0.25,10,tt_lin
realstate,4,16,0.75,8.392362188873662,0.5778312071371663,,3808,27,358916519,100,5.0,0.25,10,tt_lin
realstate,4,16,0.75,8.40713249759927,0.5763438903441496,,3808,25,328531638,100,5.0,0.25,10,tt_lin
realstate,4,16,0.75,8.122039076096579,0.6045898265333672,,3808,20,787755760,100,5.0,0.25,10,tt_lin
realstate,4,16,0.75,8.318294821650975,0.5852500833163201,,3808,18,4192420569,100,5.0,0.25,10,tt_lin
