dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
breast,2,4,0.25,,,0.9529411764705882,271,13,42,100,5.0,0.25,10,tt_lin_type1
breast,2,4,0.25,,,0.9411764705882353,271,12,43,100,5.0,0.25,10,tt_lin_type1
breast,2,4,0.25,,,0.9529411764705882,271,12,44,100,5.0,0.25,10,tt_lin_type1
breast,2,4,0.25,,,0.9529411764705882,271,12,45,100,5.0,0.25,10,tt_lin_type1
breast,2,4,0.25,,,0.9411764705882353,271,12,46,100,5.0,0.25,10,tt_lin_type1
breast,2,4,0.5,,,0.9411764705882353,271,11,42,100,5.0,0.25,10,tt_lin_type1
breast,2,4,0.5,,,0.9411764705882353,271,12,43,100,5.0,0.25,10,tt_lin_type1
breast,2,4,0.5,,,0.9529411764705882,271,15,44,100,5.0,0.25,10,tt_lin_type1
breast,2,4,0.5,,,0.9647058823529412,271,11,45,100,5.0,0.25,10,tt_lin_type1
breast,2,4,0.5,,,0.9411764705882353,271,12,46,100,5.0,0.25,10,tt_lin_type1
breast,2,4,0.75,,,0.9529411764705882,271,15,42,100,5.0,0.25,10,tt_lin_type1
breast,2,4,0.75,,,0.9411764705882353,271,13,43,100,5.0,0.25,10,tt_lin_type1
breast,2,4,0.75,,,0.9411764705882353,271,11,44,100,5.0,0.25,10,tt_lin_type1
breast,2,4,0.75,,,0.9411764705882353,271,13,45,100,5.0,0.25,10,tt_lin_type1
breast,2,4,0.75,,,0.9529411764705882,271,11,46,100,5.0,0.25,10,tt_lin_type1
breast,2,8,0.25,,,0.9647058823529412,511,11,42,100,5.0,0.25,10,tt_lin_type1
breast,2,8,0.25,,,0.9529411764705882,511,15,43,100,5.0,0.25,10,tt_lin_type1
breast,2,8,0.25,,,0.9411764705882353,511,12,44,100,5.0,0.25,10,tt_lin_type1
breast,2,8,0.25,,,0.9529411764705882,511,11,45,100,5.0,0.25,10,tt_lin_type1
breast,2,8,0.25,,,0.9529411764705882,511,15,46,100,5.0,0.25,10,tt_lin_type1
breast,2,8,0.5,,,0.9529411764705882,511,15,42,100,5.0,0.25,10,tt_lin_type1
breast,2,8,0.5,,,0.9529411764705882,511,12,43,100,5.0,0.25,10,tt_lin_type1
breast,2,8,0.5,,,0.9411764705882353,511,11,44,100,5.0,0.25,10,tt_lin_type1
breast,2,8,0.5,,,0.9411764705882353,511,12,45,100,5.0,0.25,10,tt_lin_type1
breast,2,8,0.5,,,0.9529411764705882,511,13,46,100,5.0,0.25,10,tt_lin_type1
breast,2,8,0.75,,,0.9529411764705882,511,11,42,100,5.0,0.25,10,tt_lin_type1
breast,2,8,0.75,,,0.9529411764705882,511,12,43,100,5.0,0.25,10,tt_lin_type1
breast,2,8,0.75,,,0.9411764705882353,511,11,44,100,5.0,0.25,10,tt_lin_type1
breast,2,8,0.75,,,0.9529411764705882,511,11,45,100,5.0,0.25,10,tt_lin_type1
breast,2,8,0.75,,,0.9411764705882353,511,12,46,100,5.0,0.25,10,tt_lin_type1
breast,2,12,0.25,,,0.9529411764705882,751,15,42,100,5.0,0.25,10,tt_lin_type1
breast,2,12,0.25,,,0.9411764705882353,751,12,43,100,5.0,0.25,10,tt_lin_type1
breast,2,12,0.25,,,0.9411764705882353,751,11,44,100,5.0,0.25,10,tt_lin_type1
breast,2,12,0.25,,,0.9411764705882353,751,12,45,100,5.0,0.25,10,tt_lin_type1
breast,2,12,0.25,,,0.9411764705882353,751,11,46,100,5.0,0.25,10,tt_lin_type1
breast,2,12,0.5,,,0.9411764705882353,751,12,42,100,5.0,0.25,10,tt_lin_type1
breast,2,12,0.5,,,0.9529411764705882,751,11,43,100,5.0,0.25,10,tt_lin_type1
breast,2,12,0.5,,,0.9411764705882353,751,11,44,100,5.0,0.25,10,tt_lin_type1
breast,2,12,0.5,,,0.9647058823529412,751,11,45,100,5.0,0.25,10,tt_lin_type1
breast,2,12,0.5,,,0.9529411764705882,751,11,46,100,5.0,0.25,10,tt_lin_type1
breast,2,12,0.75,,,0.9411764705882353,751,12,42,100,5.0,0.25,10,tt_lin_type1
breast,2,12,0.75,,,0.9529411764705882,751,12,43,100,5.0,0.25,10,tt_lin_type1
breast,2,12,0.75,,,0.9529411764705882,751,11,44,100,5.0,0.25,10,tt_lin_type1
breast,2,12,0.75,,,0.9411764705882353,751,12,45,100,5.0,0.25,10,tt_lin_type1
breast,2,12,0.75,,,0.9529411764705882,751,11,46,100,5.0,0.25,10,tt_lin_type1
breast,2,16,0.25,,,0.9529411764705882,991,11,42,100,5.0,0.25,10,tt_lin_type1
breast,2,16,0.25,,,0.9647058823529412,991,11,43,100,5.0,0.25,10,tt_lin_type1
breast,2,16,0.25,,,0.9529411764705882,991,11,44,100,5.0,0.25,10,tt_lin_type1
breast,2,16,0.25,,,0.9529411764705882,991,11,45,100,5.0,0.25,10,tt_lin_type1
breast,2,16,0.25,,,0.9411764705882353,991,12,46,100,5.0,0.25,10,tt_lin_type1
breast,2,16,0.5,,,0.9529411764705882,991,11,42,100,5.0,0.25,10,tt_lin_type1
breast,2,16,0.5,,,0.9529411764705882,991,12,43,100,5.0,0.25,10,tt_lin_type1
breast,2,16,0.5,,,0.9411764705882353,991,12,44,100,5.0,0.25,10,tt_lin_type1
breast,2,16,0.5,,,0.9411764705882353,991,11,45,100,5.0,0.25,10,tt_lin_type1
breast,2,16,0.5,,,0.9411764705882353,991,12,46,100,5.0,0.25,10,tt_lin_type1
breast,2,16,0.75,,,0.9411764705882353,991,12,42,100,5.0,0.25,10,tt_lin_type1
breast,2,16,0.75,,,0.9529411764705882,991,11,43,100,5.0,0.25,10,tt_lin_type1
breast,2,16,0.75,,,0.9529411764705882,991,12,44,100,5.0,0.25,10,tt_lin_type1
